Date,Close Price,
2017-11-29 00:00:00,9816.35,
2017-11-30 00:00:00,9916.54,
2017-12-01 00:00:00,10859.56,
2017-12-02 00:00:00,10895.01,
2017-12-03 00:00:00,11180.89,
2017-12-04 00:00:00,11616.85,
2017-12-05 00:00:00,11696.06,
2017-12-06 00:00:00,13708.99,
2017-12-07 00:00:00,16858.02,
2017-12-08 00:00:00,16057.14,
2017-12-09 00:00:00,14913.4,
2017-12-10 00:00:00,15036.96,
2017-12-11 00:00:00,16699.68,
2017-12-12 00:00:00,17178.1,
2017-12-13 00:00:00,16407.2,
2017-12-14 00:00:00,16531.08,
2017-12-15 00:00:00,17601.94,
2017-12-16 00:00:00,19343.04,
2017-12-17 00:00:00,19086.64,
2017-12-18 00:00:00,18960.52,
2017-12-19 00:00:00,17608.35,
2017-12-20 00:00:00,16454.72,
2017-12-21 00:00:00,15561.05,
2017-12-22 00:00:00,13857.14,
2017-12-23 00:00:00,14548.71,
2017-12-24 00:00:00,13975.44,
2017-12-25 00:00:00,13917.03,
2017-12-26 00:00:00,15745.26,
2017-12-27 00:00:00,15378.28,
2017-12-28 00:00:00,14428.76,
2017-12-29 00:00:00,14427.87,<-
